Class of Orbit;Country of Operator/Owner;Apogee (Kilometers);Contractor;COSPAR Number;Country of Contractor;Country/Organization of UN Registry;Eccentricity;Launch Site;Launch Vehicle;NORAD Number;Official Name of Satellite;Operator/Owner;Perigee (Kilometers);Purpose;Users
LEO;Denmark;687;University of Aalborg;2016-025E;Denmark;NR;0.0177;Guiana Space Center;Soyuz 2.1a;41460;AAUSat-4;University of Aalborg;442;Earth Observation;Civil
GEO;Multinational;35793;Space Systems/Loral;2014-006A;USA;NR;0.000178;Guiana Space Center;Ariane  5 ECA;39508;ABS-2;Asia Broadcast Satellite Ltd.;35778;Communications;Commercial
GEO;Multinational;35700;Boeing Satellite Systems;2016-038A;USA;NR;0;Cape Canaveral;Falcon 9;41588;ABS-2A;Asia Broadcast Satellite Ltd.;35700;Communications;Commercial
GEO;Multinational;35802;Space Systems/Loral;1997-042A;USA;Philippines;0.000391;Xichang Satellite Launch Center;Long March CZ3B;24901;ABS-3;Asia Broadcast Satellite Ltd.;35769;Communications;Commercial
GEO;Multinational;35803;Boeing Satellite Systems;2015-010A;USA;NR;0.000178;Cape Canaveral;Falcon 9;40424;ABS-3A;Asia Broadcast Satellite Ltd.;35788;Communications;Commercial
GEO;Multinational;35793;Space Systems/Loral;2004-007A;USA;NR;0.000154;Cape Canaveral;Atlas 3;28184;ABS-4;Asia Broadcast Satellite Ltd.;35780;Communications;Commercial
GEO;Multinational;35794;Lockheed Martin;1999-053A;USA;NR;0.000202;Baikonur Cosmodrome;Proton;25924;ABS-6;Asia Broadcast Satellite Ltd.;35777;Communications;Commercial
GEO;Multinational;35791;Lockheed Martin Astro Space;1999-046A;USA;South Korea;0.00013;Guiana Space Center;Ariane;25894;ABS-7;Asia Broadcast Satellite Ltd.;35780;Communications;Commercial
GEO;USA;36013;TRW Space and Electronics;1998-029A;USA;USA;0.00537;Cape Canaveral;Titan IVA;25336;USA 139;National Reconnaissance Office (NRO);35560;Earth Observation;Military
GEO;USA;35984;TRW Space and Electronics;2003-041A;USA;USA;0.00468;Cape Canaveral;Titan IV;27937;USA 171;National Reconnaissance Office (NRO);35589;Earth Observation;Military
GEO;USA;35937;National Reconnaissance Laboratory (?);2009-001A;USA;USA;0.00264;Cape Canaveral;Delta 4 Heavy;33490;USA 202;National Reconnaissance Office (NRO);35714;Earth Observation;Military
GEO;USA;35500;National Reconnaissance Laboratory (?);2010-063A;USA;USA;0;Cape Canaveral;Delta 4 Heavy;37232;USA 223;National Reconnaissance Office (NRO);35500;Earth Observation;Military
GEO;USA;35805;National Reconnaissance Laboratory (?);2012-034A;USA;USA;0.000403;Cape Canaveral;Delta 4 Heavy;38528;USA 237;National Reconnaissance Office (NRO);35771;Earth Observation;Military
GEO;USA;35903;National Reconnaissance Laboratory (?);2016-036A;USA;NR;0.00344;Cape Canaveral;Delta 4 Heavy;41584;USA 268;National Reconnaissance Office (NRO);35613;Earth Observation;Military
GEO;USA;35801;Lockheed Martin Space Systems;2012-019A;USA;USA;0.000344;Cape Canaveral;Atlas 5;38254;USA 235;US Air Force;35772;Communications;Military
GEO;USA;35803;Lockheed Martin Space Systems;2013-050A;USA;NR;0.00122;Cape Canaveral;Atlas 5;39256;USA 246;US Air Force;35700;Communications;Military
LEO;USA;790;University of Southern California;2012-048C;USA;USA;0.0221;Vandenberg AFB;Atlas 5;38760;Aeneas;Department of Homeland Security;480;Technology Development;Government
LEO;USA;791;Aerospace Corporation;2012-048K;USA;USA;0.0211;Vandenberg AFB;Atlas 5;38767;Aerocube 4.5A;Aerospace Corporation;495;Technology Development;Commercial
LEO;USA;792;Aerospace Corporation;2012-048L;USA;USA;0.0209;Vandenberg AFB;Atlas 5;38768;Aerocube 4.5B;Aerospace Corporation;499;Technology Development;Commercial
LEO;USA;886;Aerospace Corporation;2013-072D;USA;NR;0.0315;Vandenberg AFB;Atlas 5;39465;Aerocube 5A;Aerospace Corporation;443;Technology Development;Commercial
LEO;USA;886;Aerospace Corporation;2013-072E;USA;NR;0.0315;Vandenberg AFB;Atlas 5;39466;Aerocube 5B;Aerospace Corporation;443;Technology Development;Commercial
LEO;USA;802;Aerospace Corporation;2015-058B;USA;NR;0.0215;Vandenberg AFB;Atlas 5;40965;Aerocube 5C;Aerospace Corporation;500;Technology Development;Commercial
LEO;USA;700;Aerospace Corporation;2014-033AM;USA;NR;0.00612;Dombarovsky Air Base;Dnepr;40045;Aerocube 6A;Aerospace Corporation;614;Technology Development;Commercial
LEO;USA;700;Aerospace Corporation;2014-033AN;USA;NR;0.00612;Dombarovsky Air Base;Dnepr;40046;Aerocube 6B;Aerospace Corporation;614;Technology Development;Commercial
LEO;USA;802;Aerospace Corporation;2015-058C;USA;NR;0.0215;Vandenberg AFB;Atlas 5;40966;Aerocube 7A;Aerospace Corporation;500;Technology Development;Commercial
LEO;USA;700;Aerospace Corporation;2015-025J;USA;NR;0.0249;Cape Canaveral;Atlas 5;40659;Aerocube 8A;Aerospace Corporation;356;Technology Development;Commercial
LEO;USA;700;Aerospace Corporation;2015-025K;USA;NR;0.0249;Cape Canaveral;Atlas 5;40660;Aerocube 8B;Aerospace Corporation;356;Technology Development;Commercial
GEO;Multinational;35808;EADS Astrium;2008-065B;France;France;0.000522;Guiana Space Center;Ariane 5;33460;Eutelsat 28B;European Telecommunications Satellite Consortium (EUTELSAT);35764;Communications;Commercial
GEO;USA;35802;Matra Marconi Space-France;1998-063A;France;USA;0.00038;Guiana Space Center;Ariane 44L;25515;Afristar;1Worldspace;35770;Communications;Commercial
LEO;USA;552;Orbital Sciences Corp.;2007-015A;USA;USA;0.000578;Vandenberg AFB;Pegasus XL;31304;AIM;Center for Atmospheric Sciences, Hampton University/NASA;544;Earth Observation;Government
LEO;Germany;660;German Aerospace Center (DLR);2014-034B;Germany;Germany;0.00121;Satish Dhawan Space Center;PSLV-CA;40054;AISat-1;German Aerospace Center (DLR);643;Communications;Government
LEO;Norway;632;Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies;2010-035C;Canada;Norway;0.00122;Satish Dhawan Space Center;PSLV;36797;AISSat-1;Norwegian Coastal Admnistration;615;Communications;Government
LEO;Norway;631;Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies;2014-037G;Norway/Canada;Norway;0.000429;Baikonur Cosmodrome;Soyuz-2.1b;40075;AISSat-2;Norwegian Coastal Admnistration;625;Communications;Government
LEO;Russia;626;TsSKB Progress;2013-078C;Russia;Russia;0.00193;Plesetsk Cosmodrome;Soyuz 2,1v;39492;AIST-1;Samara State Aerospace University, SGAU;599;Technology Development;Civil
LEO;Russia;582;Samara State Aerospace University, SGAU;2013-015D;Russia;Russia;0.00173;Baikonur Cosmodrome;Soyuz 2.1a;39133;AIST-2;Samara State Aerospace University, SGAU;558;Technology Development;Civil
LEO;Russia;486;Samara State Aerospace University/TsSKB Progress;2016-026B;Russia;NR;0.0011;Vostochny Cosmodrome;Soyuz 2.1a;41465;AIST-2D;Samara State Aerospace University;471;Technology Development;Civil
LEO;USA;886;US Air Force Institute of Technology;2013-072F;USA;NR;0.0315;Vandenberg AFB;Atlas 5;39467;ALiCE;US Air Force Institute of Technology;443;Technology Development;Military
GEO;United Kingdom/ESA;35787;Astrium;2013-038A;France/UK/Germany/Spain;United Kingdom;1.19e-05;Guiana Space Center;Ariane 5 ECA;39215;Alphasat I-XL;INMARSAT, Ltd./European Space Agency;35786;Communications/Technology Development;Commercial/Government
LEO;Algeria;674;EADS Astrium;2010-035D;France/UK/Germany/Spain;Algeria;0.000142;Satish Dhawan Space Center;PSLV;36798;Alsat-2A;Centre National des Techniques Spatiales (CNTS);672;Earth Observation;Government
GEO;Spain;35797;EADS Astrium;2004-031A;France/UK/Germany/Spain;Brazil;0.000249;Baikonur Cosmodrome;Proton M;28393;Amazonas-1;Hispamar (subsidiary of Hispasat - Spain);35776;Communications;Commercial
GEO;Spain;35805;EADS Astrium;2009-054A;France/UK/Germany/Spain;Brazil;0.000451;Guiana Space Center;Ariane 5;35942;Amazonas-2;Hispamar (subsidiary of Hispasat - Spain);35767;Communications;Commercial
GEO;Spain;35791;Space Systems/Loral;2013-006A;USA;Brazil;0.000119;Guiana Space Center;Ariane 5 ECA;39078;Amazonas-3;Hispamar (subsidiary of Hispasat - Spain);35781;Communications;Commercial
GEO;Spain;35795;Orbital Sciences Corp.;2014-011A;USA;NR;0.00013;Guiana Space Center;Ariane 5 ECA;39616;Amazonas-4A;Hispamar (subsidiary of Hispasat - Spain);35784;Communications;Commercial
GEO;USA;35800;Lockheed Martin Commercial Space Systems;1996-054A;USA;USA;0.000332;Cape Canaveral;Atlas 2A;24315;AMC-1;SES (Société Européenne des Satellites (SES));35772;Communications;Commercial
GEO;USA;35797;Lockheed Martin;2004-003A;USA;USA;0.000261;Cape Canaveral;Atlas 2AS;28154;AMC-10;SES World Skies;35775;Communications;Commercial
GEO;USA;35797;Lockheed Martin;2004-017A;USA;USA;0.000273;Cape Canaveral;Atlas 2AS;28252;AMC-11;SES World Skies;35774;Communications;Commercial
GEO;USA;35795;Lockheed Martin;2004-041A;USA;USA;0.000213;Baikonur Cosmodrome;Proton M;28446;AMC-15;SES World Skies;35777;Communications;Commercial
GEO;USA;35793;Lockheed Martin Commercial Space Systems;2004-048A;USA;USA;0.000154;Cape Canaveral;Atlas 5;28472;AMC-16;SES World Skies;35780;Communications;Commercial
GEO;USA;35800;Lockheed Martin Missiles and Space;2006-054B;USA;USA;0.00032;Guiana Space Center;Ariane 5;29644;AMC-18;SES World Skies;35773;Communications;Commercial
GEO;USA;35798;Lockheed Martin Commercial Space Systems;1997-002A;USA;USA;0.000285;Guiana Space Center;Ariane 44L;24713;AMC-2;SES World Skies;35774;Communications;Commercial
GEO;USA;35793;Orbital Sciences Corp.;2008-038B;USA;United Kingdom;0.000178;Guiana Space Center;Ariane 5 ECA;33275;AMC-21;SES World Skies;35778;Communications;Commercial
GEO;USA;35795;Lockheed Martin Commercial Space Systems;1997-050A;USA;USA;0.000213;Cape Canaveral;Atlas 2AS;24936;AMC-3;SES World Skies;35777;Communications;Commercial
GEO;USA;35791;Lockheed Martin Commercial Space Systems;1999-060A;USA;USA;0.000119;Guiana Space Center;Ariane 44LP;25954;AMC-4;SES World Skies;35781;Communications;Commercial
GEO;USA;35795;Lockheed Martin Commercial Space Systems;2000-067A;USA;USA;0.000202;Baikonur Cosmodrome;Proton K;26580;AMC-6;SES World Skies;35778;Communications;Commercial
GEO;USA;35798;Lockheed Martin Commercial Space Systems;2000-054B;USA;USA;0.000297;Guiana Space Center;Ariane 5G;26495;AMC-7;SES World Skies;35773;Communications;Commercial
GEO;USA;35798;Lockheed Martin Commercial Space Systems;2000-081B;USA;USA;0.000297;Guiana Space Center;Ariane 5G;26639;AMC-8;SES World Skies;35773;Communications;Commercial
GEO;USA;35798;Alcatel Space Industries;2003-024A;France;USA;0.000297;Baikonur Cosmodrome;Proton K;27820;AMC-9;SES World Skies;35773;Communications;Commercial
GEO;Israel;35794;Israel Aircraft Industries (IAI);2003-059A;Israel;NR;0.00019;Baikonur Cosmodrome;Soyuz-Fregat;28132;Amos 2;Israel Aircraft Industries;35778;Communications;Military/Commercial
GEO;Israel;35789;Israel Aircraft Industries (IAI);2008-022A;Israel;NR;7.12e-05;Baikonur Cosmodrome;Zenit 3SLB;32794;Amos 3;Space-Communication Ltd;35783;Communications;Military/Commercial
GEO;Israel;35796;Israel Aircraft Industries (IAI);2013-045A;Israel;NR;0.00194;Baikonur Cosmodrome;Zenit 2SB;39237;Amos 4;Space-Communication Ltd;35633;Communications;Military/Commercial
GEO;Israel;36007;OAO ISS;2011-074A;Russia;NR;0.00488;Baikonur Cosmodrome;Proton M;37950;Amos 5;Space-Communication Ltd;35595;Communications;Military/Commercial
LEO;USA;1459;Amsat-NA;1974-089B;USA;USA;0.00121;Vandenberg AFB;Delta 2310;7530;Amsat-Oscar 7;Amsat-NA;1440;Communications;Civil
GEO;Canada;35793;Boeing Satellite Systems;2000-076A;USA;Canada;0.000178;Guiana Space Center;Ariane 44L;26624;Anik F1;Telesat Canada Ltd. (BCE, Inc.);35778;Communications;Commercial
GEO;Canada;35795;EADS Astrium;2005-036A;France/UK/Germany/Spain;Canada;0.000213;Baikonur Cosmodrome;Proton M;28868;Anik F1R;Telesat Canada Ltd. (BCE, Inc.);35777;Communications;Commercial
GEO;Canada;35790;Boeing Satellite Systems;2004-027A;USA;Canada;0.000107;Guiana Space Center;Ariane 5;28378;Anik F2;Telesat Canada Ltd. (BCE, Inc.);35781;Communications;Commercial
GEO;Canada;35794;EADS Astrium;2007-009A;France/UK/Germany/Spain;Canada;0.00019;Baikonur Cosmodrome;Proton M;31102;Anik F3;Telesat Canada Ltd. (BCE, Inc.);35778;Communications;Commercial
GEO;Canada;35799;Space Systems/Loral;2013-014A;USA;NR;0.000308;Baikonur Cosmodrome;Proton M;39127;Anik G1;Telesat Canada Ltd. (BCE, Inc.);35773;Communications;Commercial
LEO;Uruguay;696;Facultad de Ingeniería de la Universidad de la República (FING), ANTEL;2014-033AA;Uruguay;NR;0.00598;Dombarovsky Air Base;Dnepr;40034;AntelSat;Facultad de Ingeniería de la Universidad de la República (FING), ANTEL;612;Technology Development;Civil
LEO;Argentina;764;Aprize Satellite;2004-025G;Argentina;USA;0.00479;Baikonur Cosmodrome;Dnepr 1;28372;AprizeSat 1;Aprize Satellites Argentina;696;Communications/Technology Development;Commercial
LEO;USA/Argentina;733;SpaceQuest;2014-033K;USA;NR;0.00852;Dombarovsky Air Base;Dnepr;40019;AprizeSat 10;Aprize Satellite;613;Communications/Maritime Tracking;Commercial
LEO;Argentina;850;Aprize Satellite;2004-025A;Argentina;USA;0.0109;Baikonur Cosmodrome;Dnepr 1;28366;AprizeSat 2;Aprize Satellites Argentina;694;Communications/Technology Development;Commercial
LEO;USA/Argentina;662;SpaceQuest;2009-041F;USA;USA;0.00738;Baikonur Cosmodrome;Dnepr;35686;AprizeSat 3;Aprize Satellite;559;Communications/Maritime Tracking;Commercial
LEO;USA/Argentina;674;SpaceQuest;2009-041D;USA;USA;0.00499;Baikonur Cosmodrome;Dnepr;35684;AprizeSat 4;Aprize Satellite;604;Communications/Maritime Tracking;Commercial
LEO;Canada;694;SpaceQuest;2011-044E;USA;USA;0.00598;Dombarovsky Air Base;Dnepr 1;37792;AprizeSat 5;AprizeSat;610;Communications;Commercial
LEO;Canada;653;SpaceQuest;2013-066A;USA;USA;0.00422;Dombarovsky Air Base;Dnepr;39416;AprizeSat 7;AprizeSat;594;Communications;Commercial
LEO;USA/Argentina;669;SpaceQuest;2013-066K;USA;NR;0.00536;Dombarovsky Air Base;Dnepr;39425;AprizeSat 8;Aprize Satellite;594;Communications/Maritime Tracking;Commercial
LEO;Canada;715;SpaceQuest;2014-033J;USA;NR;0.00725;Dombarovsky Air Base;Dnepr;40018;AprizeSat 9;exactEarth;613;Communications/Maritime Tracking;Commercial
GEO;China;35790;Hughes;1996-039A;USA;China;0.00013;Xichang Satellite Launch Center;Long March 3;23943;Apstar 1A;APT Satellite Holdings Ltd.;35779;Communications;Commercial
GEO;China;35794;Alcatel Space Industries;2005-012A;France;China;0.00019;Xichang Satellite Launch Center;Long March 3B;28638;Apstar 6;APT Satellite Holdings Ltd.;35778;Communications;Commercial
GEO;China;35874;Thales Alenia Space;2012-013A;France/Italy;China;0.000118;Xichang Satellite Launch Center;Long March 3B;38107;Apstar 7;APT Satellite Holdings Ltd.;35864;Communications;Commercial
GEO;China;35788;China Academy of Space Technology (CAST);2015-059A;China;China;7.12e-05;Xichang Satellite Launch Center;Long March 3B;40982;Apstar 9;APT Satellite Holdings Ltd.;35782;Communications;Commercial
GEO;China;35795;Lockheed Martin;1998-033A;USA;China;0.000202;Xichang Satellite Launch Center;Long March 3B;25354;Apstar 9A;APT Satellite Holdings Ltd.;35778;Communications;Commercial
GEO;Multinational;35805;Astrium/Thales Alenia Space;2011-049B;France;NR;0.000463;Guiana Space Center;Arinae 5 ECA;37810;Arabsat 5C;Arab Satellite Communications Org. (ASCO);35766;Communications;Government
GEO;Multinational;35794;Lockheed Martin/Spar Aerospace;1999-027A;USA/Canada;Canada;0.00019;Baikonur Cosmodrome;Proton D;25740;Arabsat 7F;Arab Satellite Communications Org. (ASCO);35778;Communications;Commercial
LEO;USA;801;University of Alaska-Fairbanks;2015-058F;USA;NR;0.0217;Cape Canaveral;Atlas 5;40969;ARC-1;University of Alaska-Fairbanks;497;Technology Development;Civil
GEO;Argentina;35795;INVAP S.E.;2014-062B;Argentina;Argentina;0.000202;Guiana Space Center;Ariane 5 ECA;40272;ArSat 1;ArSat;35778;Communications;Commercial
GEO;Argentina;35801;INVAP S.E.;2015-054B;Argentina;Argentina;0.000178;Guiana Space Center;Ariane 5 ECA;40941;ArSat 2;ArSat;35786;Communications;Commercial
GEO;ESA;35803;Alenia Spazio;2001-029A;Italy;ESA;0.00038;Guiana Space Center;Ariane 5G;26863;Advanced Data Relay and Technology Mission Satellite (Artemis);European Space Agency;35771;Communications/Technology Development;Commercial/Government
GEO;China;35792;Boeing Satellite Systems;1999-013A;USA;China;0.000142;Baikonur Cosmodrome;Proton K;25657;AsiaSat-3S;Asia Satellite Telecommunications Co. Ltd.;35780;Communications;Commercial
GEO;China;35789;Boeing Satellite Systems;2003-014A;USA;China;5.93e-05;Cape Canaveral;Atlas 3B;27718;AsiaSat-4;Asia Satellite Telecommunications Co. Ltd.;35784;Communications;Commercial
GEO;China;35795;Space Systems/Loral;2009-042A;USA;China;0.000202;Baikonur Cosmodrome;Breeze M;35696;AsiaSat-5;Asia Satellite Telecommunications Co. Ltd.;35778;Communications;Commercial
GEO;China;35793;Space Systems/Loral;2014-052A;USA;China;0.000119;Cape Canaveral;Falcon 9;40141;AsiaSat-6;Asia Satellite Telecommunications Co. Ltd.;35783;Communications;Commercial
GEO;China;35793;Space Systems/Loral;2011-069A;USA;China;0.00013;Baikonur Cosmodrome;Proton M;37933;AsiaSat-7;Asia Satellite Telecommunications Co. Ltd.;35782;Communications;Commercial
GEO;China;35793;Space Systems/Loral;2014-046A;USA;China;0.000142;Cape Canaveral;Falcon 9;40107;AsiaSat-8;Asia Satellite Telecommunications Co. Ltd.;35781;Communications;Commercial
GEO;USA;35801;Alcatel Space Industries;2000-016A;France;USA;0.000332;Guiana Space Center;Ariane 5G;26107;AsiaStar;1Worldspace;35773;Communications;Commercial
LEO;Japan;507;NEC;2014-070A;Japan;Japan;7.27e-05;Dombarovsky Air Base;Dnepr;40298;ASNARO-1;Ministry of Economy, Trade and Industry;506;Earth Observation;Government
GEO;Luxembourg;35795;Hughes;1994-070A;USA;Luxembourg;0.000225;Guiana Space Center;Ariane 42P;23331;Astra 1D;SES (Société Européenne des Satellites (SES));35776;Communications;Commercial
GEO;Luxembourg;35797;Hughes;1996-021A;USA;Luxembourg;0.000225;Baikonur Cosmodrome;Proton K;23842;Astra 1F;SES (Société Européenne des Satellites (SES));35778;Communications;Commercial
GEO;Luxembourg;35791;Hughes;1997-076A;USA;Luxembourg;0.00013;Baikonur Cosmodrome;Proton K;25071;Astra 1G;SES (Société Européenne des Satellites (SES));35780;Communications;Commercial
GEO;Luxembourg;35794;Hughes;1999-033A;USA;Luxembourg;0.000213;Baikonur Cosmodrome;Proton D;25785;Astra 1H;SES (Société Européenne des Satellites (SES));35776;Communications;Commercial
GEO;Luxembourg;35807;Lockheed Martin Commercial Space Systems;2006-012A;USA;Luxembourg;0.000486;Cape Canaveral;Atlas 5;29055;Astra 1KR;SES (Société Européenne des Satellites (SES));35766;Communications;Commercial
GEO;Luxembourg;35798;Lockheed Martin Commercial Space Systems;2007-016A;USA;Luxembourg;0.000308;Guiana Space Center;Ariane 5 ECA;31306;Astra 1L;SES (Société Européenne des Satellites (SES));35772;Communications;Commercial
GEO;Luxembourg;35852;EADS Astrium;2008-057A;France;Luxembourg;0.000569;Baikonur Cosmodrome;Proton M;33436;Astra 1M;SES (Société Européenne des Satellites (SES));35804;Communications;Commercial
GEO;Luxembourg;35780;EADS Astrium;2011-041A;France;Luxembourg;0.000772;Guiana Space Center;Ariane 5 ECA;37775;Astra 1N;SES (Société Européenne des Satellites (SES));35715;Communications;Commercial
GEO;Luxembourg;35797;Hughes;1998-050A;USA;Luxembourg;0.000249;Baikonur Cosmodrome;Proton K;25462;Astra 2A;SES (Société Européenne des Satellites (SES));35776;Communications;Commercial
GEO;Luxembourg;35801;Astrium;2000-054A;France/UK/Germany;Luxembourg;0.000344;Guiana Space Center;Ariane 5G;26494;Astra 2B;SES (Société Européenne des Satellites (SES));35772;Communications;Commercial
GEO;Luxembourg;35804;Boeing Satellite Systems;2001-025A;USA;Luxembourg;0.000427;Baikonur Cosmodrome;Proton K;26853;Astra 2C;SES (Société Européenne des Satellites (SES));35768;Communications;Commercial
GEO;Luxembourg;35802;Hughes;2000-081A;USA;Luxembourg;0.00038;Guiana Space Center;Ariane 5G;26638;Astra 2D;SES (Société Européenne des Satellites (SES));35770;Communications;Commercial
GEO;Luxembourg;35793;EADS Astrium;2013-056A;France;Luxembourg;0.000142;Baikonur Cosmodrome;Proton M;39285;Astra 2E;SES (Société Européenne des Satellites (SES));35781;Communications;Commercial
GEO;Luxembourg;35795;EADS Astrium;2012-051A;France/UK/Germany;Luxembourg;0.000213;Guiana Space Center;Ariane 5 ECA;38778;Astra 2F;SES (Société Européenne des Satellites (SES));35777;Communications;Commercial
GEO;Luxembourg;35789;Airbus Defense and Space;2014-089A;Germany/France;NR;4.74e-05;Baikonur Cosmodrome;Proton-M;40364;Astra 2G;SES (Société Européenne des Satellites (SES));35785;Communications;Commercial
GEO;Luxembourg;35804;Boeing Satellite Systems;2002-015B;USA;Luxembourg;0.000403;Guiana Space Center;Ariane 44L;27400;Astra 3A;SES (Société Européenne des Satellites (SES));35770;Communications;Commercial
GEO;Luxembourg;35806;EADS Astrium;2010-021A;France/UK/Germany/Spain;Luxembourg;0.000451;Guiana Space Center;Ariane 5 ECA;36581;Astra 3B;SES (Société Européenne des Satellites (SES));35768;Communications;Commercial
GEO;Luxembourg;35793;EADS Astrium;2014-011B;France;Luxembourg;7.12e-05;Guiana Space Center;Ariane 5 ECA;39617;Astra 5B;SES (Société Européenne des Satellites (SES));35787;Communications;Commercial
LEO;India;649;Indian Space Research Organization (ISRO);2015-052A;India;NR;0.00121;Satish Dhawan Space Centre;PSLV C-30;40930;Astrosat;Telemetry Tracking and Command Network (ISTRAC) Centre;632;Space Science;Government
GEO;France/Italy;35788;Thales Alenia Space;2014-006B;France;France;4.74e-05;Guiana Space Center;Ariane 5 ECA;39509;Athena-Fidus;Centre National d'Etudes Spatiales (CNES)/Agenzia Spaziale Italiana (ASI);35784;Communications;Government/Military
LEO;Singapore;550;Microspace Rapid Pvt Ltd.;2015-077C;Singapore;NR;0.0013;Satish Dhawan Space Center;PSLV-C29;41168;Athenoxat-1;Microspace Rapid Pvt Ltd.;532;Technology Development;Commercial
LEO;Russia;618;Sputnix Ltd.;2014-033H;Russia;Russia;0.00251;Dombarovsky Air Base;Dnepr;40017;Aurora;Sputnix Ltd.;583;Technology Development;Commercial
GEO;Azerbaijan;35794;Orbital Sciences Corp.;2013-006B;USA;Azerbaijan;0.00019;Guiana Space Center;Ariane 5 ECA;39079;Azerspace/Africasat-1a;Ministry of Communications and Information Technologies;35778;Communications;Government
GEO;Multinational;35791;EADS Astrium;2006-051A;France/UK/Germany/Spain;NR;0.00013;Baikonur Cosmodrome;Proton M;29526;Badr 4;Arab Satellite Communications Org. (ASCO);35780;Communications;Government
GEO;Multinational;35883;EADS Astrium;2010-025A;France/UK/Germany/Spain;NR;0.00058;Baikonur Cosmodrome;Proton;36592;Badr 5;Arab Satellite Communications Org. (ASCO);35834;Communications;Government
GEO;Multinational;35623;EADS Astrium;2010-032B;France/UK/Germany/Spain;NR;0.000214;Guiana Space Center;Ariane 5 ECA;36745;Badr 5A;Arab Satellite Communications Org. (ASCO);35605;Communications;Government
GEO;Multinational;35805;EADS Astrium;2008-034B;France/UK/Germany/Spain;NR;0.000439;Guiana Space Center;Ariane 5 ECA;33154;Badr 6;Arab Satellite Communications Org. (ASCO);35768;Communications;Government
GEO;Multinational;35817;Airbus Defense and Space;2015-065B;France/UK/Germany/Spain;NR;0.000581;Guiana Space Center;Ariane 5;41029;Badr 7;Arab Satellite Communications Org. (ASCO);35768;Communications;Government
LEO;Russia;586;Progress Rocket and Space Center;2015-009A;Russia;Russia;0.00115;Plesetsk Cosmodrome;Soyuz-2.1b;40420;Cosmos 2503;Ministry of Defense;570;Earth Observation;Military
LEO;Russia;594;Progress Rocket and Space Center;2016-020A;Russia;NR;0.00324;Plesetsk Cosmodrome;Soyuz 2.1a;41394;Cosmos 2515;Ministry of Defense;549;Earth Observation;Military
LEO;Germany;718;Technische Universität Berlin;2009-051C;Germany;Germany;0.000635;Satish Dhawan Space Center;PSLV;35933;BeeSat-1;Institut für Luft- und Raumfahrt;709;Technology Development;Civil
LEO;Germany;579;Technische Universität Berlin;2013-015G;Germany;Germany;0.00173;Baikonur Cosmodrome;Soyuz 2.1a;39136;BeeSat-2;Institut für Luft- und Raumfahrt;555;Technology Development;Civil
LEO;Germany;581;Technische Universität Berlin;2013-015E;Germany;Germany;0.00195;Baikonur Cosmodrome;Soyuz 2.1a;39134;BeeSat-3;Institut für Luft- und Raumfahrt;554;Technology Development;Civil
MEO;China;21595;Space Technology Research Institute (part of CASC);2012-018A;China;China;0.00242;Xichang Satellite Launch Center;Long March 3B;38250;Beidou 2-12;Chinese Defense Ministry;21460;Navigation/Global Positioning;Military/Government
MEO;China;21603;Space Technology Research Institute (part of CASC);2012-018B;China;China;0.00271;Xichang Satellite Launch Center;Long March 3B;38251;Beidou 2-13;Chinese Defense Ministry;21452;Navigation/Global Positioning;Military/Government
MEO;China;21591;Space Technology Research Institute (part of CASC);2012-050A;China;China;0.00231;Xichang Satellite Launch Center;Long March 3B;38774;Beidou 2-14;Chinese Defense Ministry;21462;Navigation/Global Positioning;Military/Government
MEO;China;21574;Space Technology Research Institute (part of CASC);2012-050B;China;China;0.00174;Xichang Satellite Launch Center;Long March 3B;38775;Beidou 2-15;Chinese Defense Ministry;21477;Navigation/Global Positioning;Military/Government
GEO;China;35799;Space Technology Research Institute (part of CASC);2012-059A;China;China;0.000285;Xichang Satellite Launch Center;Long March 3C;38953;Beidou 2-16;Chinese Defense Ministry;35775;Navigation/Global Positioning;Military/Government
GEO;China;35794;Space Technology Research Institute (part of CASC);2016-037A;China;NR;0.000213;Xichang Satellite Launch Center;Long March 3C;41586;Beidou 2-23;Chinese Defense Ministry;35776;Navigation/Global Positioning;Military/Government
GEO;China;36781;Space Technology Research Institute (part of CASC);2015-019A;China;China;0.0115;Xichang Satellite Launch Center;Long March 3C;40549;Beidou 3I-1S;Chinese Defense Ministry;35796;Navigation/Global Positioning;Military/Government
GEO;China;35953;Space Technology Research Institute (part of CASC);2015-053A;China;NR;0.00412;Xichang Satellite Launch Center;Long March 3B;40938;Beidou 3I-2S;Chinese Defense Ministry;35606;Navigation/Global Positioning;Military/Government
MEO;China;21549;Space Technology Research Institute (part of CASC);2015-037A;China;NR;0.00052;Xichang Satellite Launch Center;Long March 3B;40748;Beidou 3M-1S;Chinese Defense Ministry;21520;Navigation/Global Positioning;Military/Government
MEO;China;21550;Space Technology Research Institute (part of CASC);2015-037B;China;NR;0.00052;Xichang Satellite Launch Center;Long March 3B;40749;Beidou 3M-2S;Chinese Defense Ministry;21521;Navigation/Global Positioning;Military/Government
MEO;China;21532;Space Technology Research Institute (part of CASC);2016-006A;China;NR;0.000143;Xichang Satellite Launch Center;Long March 3C;41315;Beidou 3M-3S;Chinese Defense Ministry;21524;Navigation/Global Positioning;Military/Government
