Class of Orbit;Country of Operator/Owner;Apogee (Kilometers);Contractor;COSPAR Number;Country of Contractor;Country/Organization of UN Registry;Eccentricity;Launch Site;Launch Vehicle;NORAD Number;Official Name of Satellite;Operator/Owner;Perigee (Kilometers);Purpose;Users
LEO;USA;654;University of Texas - Austin;2010-062F;USA;USA;0.00193;Kodiak Launch Complex;Minotaur 4;37227;USA 222;University of Texas - Austin;627;Technology Development;Civil
LEO;China;500;Chinese Academy of Space Technology (CAST);2012-064B;China;NR;0.000874;Taiyuan Launch Center;Long March 2C;38998;Fengniao 1A;Chinese Academy of Space Technology (CAST);488;Technology Development;Government
GEO;China;35791;China Aerospace Corporation;2006-053A;China;China;0.000166;Xichang Satellite Launch Center;Long March 3A;29640;Fengyun 2D;China Meteorological Administration;35777;Earth Observation;Government
GEO;China;35803;Shanghai Academy of Space Flight Technology;2008-066A;China;China;0.000427;Xichang Satellite Launch Center;Long March 3A;33463;Fengyun 2E;China Meteorological Administration;35767;Earth Observation;Government
GEO;China;35816;Shanghai Academy of Space Flight Technology;2012-002A;China;China;0.000664;Xichang Satellite Launch Center;Long March 3A;38049;Fengyun 2F;China Meteorological Administration;35760;Earth Observation;Government
GEO;China;35800;Shanghai Academy of Space Flight Technology;2014-090A;China;NR;0.000356;Xichang Satellite Launch Center;Long March 3A;40367;Fengyun 2G;China Meteorological Administration;35770;Earth Observation;Government
LEO;China;835;Shanghai Academy of Space Flight Technology;2008-026A;China;China;0.00104;Taiyuan Launch Center;Long March 4C;32958;Fengyun 3A;China Meteorological Administration;820;Earth Observation;Government
LEO;China;828;Shanghai Academy of Space Flight Technology;2010-059A;China;China;6.95e-05;Taiyuan Launch Center;Long March 4C;37214;Fengyun 3B;China Meteorological Administration;827;Earth Observation;Government
LEO;China;828;Shanghai Academy of Space Flight Technology;2013-052A;China;China;6.95e-05;Taiyuan Launch Center;Long March 4C;39260;Fengyun 3C;China Meteorological Administration;827;Earth Observation;Government
LEO;USA;556;General Dynamics;2008-029A;USA;USA;0.00137;Cape Canaveral;Delta 2;33053;Fermi Gamma-Ray Space Telescope;NASA/GSFC;537;Space Science;Government
LEO;USA;1107;National Reconnaissance Office (NRO);2010-046A;USA;USA;0.000401;Vandenberg AFB;Atlas 5;37162;USA 215;National Reconnaissance Office (NRO);1101;Earth Observation;Military
LEO;USA;1107;National Reconnaissance Office (NRO);2012-014A;USA;USA;0.00261;Vandenberg AFB;Delta 4;38109;USA 234;National Reconnaissance Office (NRO);1068;Earth Observation;Military
LEO;USA;1081;National Reconnaissance Office (NRO);2013-072A;USA;NR;0.00101;Vandenberg AFB;Atlas 5;39462;USA 247;National Reconnaissance Office (NRO);1066;Earth Observation;Military
LEO;USA;1087;National Reconnaissance Office (NRO);2016-010A;USA;NR;6.71e-05;Vandenberg AFB;Delta 4;41334;USA 267;National Reconnaissance Office (NRO);1086;Earth Observation;Military
LEO;USA;886;Montana State University;2013-072B;USA;NR;0.0315;Vandenberg AFB;Atlas 5;39463;Firebird-A;Firebird Consortium (Montana State Univ., Univ. of New Hampshire, Aerospace Corp., Los Alamos National Laboratory);443;Space Science;Government/Civil
LEO;USA;886;Montana State University;2013-072C;USA;NR;0.0315;Vandenberg AFB;Atlas 5;39464;Firebird-B;Firebird Consortium (Montana State Univ., Univ. of New Hampshire, Aerospace Corp., Los Alamos National Laboratory);443;Space Science;Government/Civil
LEO;USA;667;Montana State University;2015-003B;USA;USA;0.0166;Vandenberg AFB;Delta 2;40377;Firebird-C;Firebird Consortium (Montana State Univ., Univ. of New Hampshire, Aerospace Corp., Los Alamos National Laboratory);437;Space Science;Government/Civil
LEO;USA;675;Montana State University;2015-003C;USA;USA;0.0167;Vandenberg AFB;Delta 2;40378;Firebird-D;Firebird Consortium (Montana State Univ., Univ. of New Hampshire, Aerospace Corp., Los Alamos National Laboratory);444;Space Science;Government/Civil
LEO;USA;449;National Science Foundation;2013-064R;USA;NR;0.000881;Wallops Island Flight Facility;Minotaur 1;39395;Firefly;NASA/Sienna College/Univ. of Maryland;437;Earth Science;Government/Civil
GEO;USA;35829;TRW, Defense and Space Systems Group;1989-077A;USA;USA;0.000996;Cape Canaveral;Atlas Centaur;20253;USA 46;US Navy;35745;Communications;Military
LEO;Taiwan;893;Astrium/NSPO;2004-018A;France/UK/Germany/Taiwan;NR;0.000207;Vandenberg AFB;Taurus XL;28254;Formosat-2;National Space Program Office (NSPO);890;Earth Observation;Government/Military
LEO;USA;823;Los Alamos National Lab/Sandia National Lab;1997-047A;USA;USA;0.0023;Vandenberg AFB;Pegasus XL;24920;Fast On-orbit Recording of Transient Events) FORTÉ;Los Alamos National Labs/DOE;790;Earth Observation;Government
LEO;USA;802;AMSAT/Penn State University/Vanderbilt University/Virginia Tech;2015-058D;USA;NR;0.0218;Cape Canaveral;Atlas 5;40967;Fox-1A;AMSAT-NA;496;Communications/Technology Development;Civil
LEO;Netherlands;683;AMSAT/UK-AMSAT/NL;2013-066AE;UK/Netherlands;NR;0.00635;Dombarovsky Air Base;Dnepr;39444;FUNCube-1 (AO-73);AMSAT-UK;594;Communications;Civil
LEO;Singapore;549;National University of Singapore;2015-077E;Singapore;NR;0.00145;Satish Dhawan Space Centre;PSLV-C29;41170;Galassia;National University of Singapore;529;Earth Science;Civil
GEO;USA;35795;Boeing Satellite Systems;1999-071A;USA;USA;0.000119;Guiana Space Center;Ariane 4;26038;Galaxy-11;PanAmSat (Intelsat, Ltd.);35785;Communications;Commercial
GEO;USA;35796;Orbital Sciences Corp.;2003-013B;USA;USA;0.000249;Guiana Space Center;Ariane 5;27715;Galaxy-12;PanAmSat (Intelsat, Ltd.);35775;Communications;Commercial
GEO;USA/Japan;35790;Boeing Satellite Systems;2003-044A;USA;USA;0.000107;Sea Launch (Odyssey);Zenit 3;27954;Galaxy-13;PanAmSat (Intelsat, Ltd.)/Sky Perfect JSAT Corp.;35781;Communications;Commercial
GEO;USA;35795;Orbital Sciences Corp.;2005-030A;USA;USA;0.000225;Baikonur Cosmodrome;Soyuz-Fregat;28790;Galaxy-14;PanAmSat (Intelsat, Ltd.);35776;Communications;Commercial
GEO;USA;35795;Orbital Sciences Corp.;2005-041A;USA;USA;0.000225;Guiana Space Center;Ariane 5;28884;Galaxy-15;PanAmSat (Intelsat, Ltd.);35776;Communications;Commercial
GEO;USA;35798;Space Systems/Loral;2006-023A;USA;USA;0.000273;Sea Launch (Odyssey);Zenit 3SL;29236;Galaxy-16;PanAmSat (Intelsat, Ltd.);35775;Communications;Commercial
GEO;USA;35799;Thales Alenia Space;2007-016B;France/Italy;USA;0.000297;Guiana Space Center;Ariane 5 ECA;31307;Galaxy-17;Intelsat, Ltd.;35774;Communications;Commercial
GEO;USA;35798;Space Systems/Loral;2008-024A;USA;USA;0.000285;Sea Launch (Odyssey);Zenit 3SL;32951;Galaxy-18;Intelsat, Ltd.;35774;Communications;Commercial
GEO;USA;35796;Space Systems/Loral;2008-045A;USA;USA;0.000237;Sea Launch (Odyssey);Zenit 3SL;33376;Galaxy-19;Intelsat, Ltd.;35776;Communications;Commercial
GEO;USA;35801;Space Systems/Loral;1997-026A;USA;USA;0.000356;Baikonur Cosmodrome;Proton K;24812;Galaxy-25;Intelsat, Ltd. ;35771;Communications;Commercial
GEO;USA;35798;Space Systems/Loral;2005-022A;USA;USA;0.000273;Sea Launch (Odyssey);Zenit 3SL;28702;Galaxy-28;Intelsat, Ltd.;35775;Communications;Commercial
GEO;USA;35788;Boeing Satellite Systems;2002-030A;USA;USA;4.74e-05;Sea Launch (Odyssey);Zenit 3SL;27445;Galaxy-3C;PanAmSat (Intelsat, Ltd.)/DirecTV L.A.;35784;Communications;Commercial
MEO;ESA;25971;OHB-System GmbH, SSTL ;2014-050A;Germany/UK;NR;0.156;Guiana Space Center;Soyuz-ST;40128;Galileo FOC FM1;European Space Agency;17231;Navigation/Global Positioning;Commercial
MEO;ESA;23280;OHB-System GmbH, SSTL ;2016-030A;Germany/UK;NR;0.000135;Guiana Space Center;Soyuz-ST;41549;Galileo FOC FM10;European Space Agency;23272;Navigation/Global Positioning;Commercial
MEO;ESA;23530;OHB-System GmbH, SSTL ;2016-030B;Germany/UK;NR;0.000787;Guiana Space Center;Soyuz-ST;41550;Galileo FOC FM11;European Space Agency;23483;Navigation/Global Positioning;Commercial
MEO;ESA;25918;OHB-System GmbH, SSTL ;2014-050B;Germany/UK;NR;0.231;Guiana Space Center;Soyuz-ST;40129;Galileo FOC FM2;European Space Agency;13810;Navigation/Global Positioning;Commercial
MEO;ESA;23574;OHB-System GmbH, SSTL ;2015-017A;Germany/UK;NR;0.000969;Guiana Space Center;Soyuz-ST;40544;Galileo FOC FM3;European Space Agency;23516;Navigation/Global Positioning;Commercial
MEO;ESA;23382;OHB-System GmbH, SSTL ;2015-017B;Germany/UK;NR;0.000488;Guiana Space Center;Soyuz-ST;40545;Galileo FOC FM4;European Space Agency;23353;Navigation/Global Positioning;Commercial
MEO;ESA;23240;OHB-System GmbH, SSTL ;2015-045A;Germany/UK;NR;0.000372;Guiana Space Center;Soyuz-ST;40889;Galileo FOC FM5;European Space Agency;23218;Navigation/Global Positioning;Commercial
MEO;ESA;23239;OHB-System GmbH, SSTL ;2015-045B;Germany/UK;NR;0.000321;Guiana Space Center;Soyuz-ST;40890;Galileo FOC FM6;European Space Agency;23220;Navigation/Global Positioning;Commercial
MEO;ESA;23618;OHB-System GmbH, SSTL ;2015-079B;Germany/UK;NR;0.00114;Guiana Space Center;Soyuz-ST;41175;Galileo FOC FM8;European Space Agency;23550;Navigation/Global Positioning;Commercial
MEO;ESA;23568;OHB-System GmbH, SSTL ;2015-079A;Germany/UK;NR;0.000284;Guiana Space Center;Soyuz-ST;41174;Galileo FOC FM9;European Space Agency;23551;Navigation/Global Positioning;Commercial
MEO;ESA;23307;Astrium/Thales Alenia Space;2011-060B;Germany/UK/Italy;NR;0.0011;Guiana Space Center;Soyuz-Fregat;37847;Galileo IOV-1 FM2;European Space Agency;23242;Navigation/Global Positioning;Commerical
MEO;ESA;23306;Astrium/Thales Alenia Space;2011-060A;Germany/UK/Italy;NR;0.00111;Guiana Space Center;Soyuz-Fregat;37846;Galileo IOV-1 PFM;European Space Agency;23240;Navigation/Global Positioning;Commercial
MEO;ESA;23233;EADS Astrium;2012-055A;Germany/UK/Italy;NR;0.000321;Guiana Space Center;Soyuz-Fregat;38857;Galileo IOV-2 FM3;European Space Agency;23214;Navigation/Global Positioning;Commercial
MEO;ESA;23227;EADS Astrium;2012-055B;Germany/UK/Italy;NR;0.000169;Guiana Space Center;Soyuz-Fregat;38858;Galileo IOV-2 FM4;European Space Agency;23217;Navigation/Global Positioning;Commercial
LEO;China;654;Shanghai Academy of Space Flight Technology;2013-018A;China;China;0.00171;Jiuquan Satellite Launch Center;Long March 2D;39150;Gaofen 1;Shanghai Academy of Spaceflight Technology (SAST);630;Earth Observation;Government
LEO;China;636;Shanghai Academy of Space Flight Technology;2014-049A;China;NR;0.00114;Taiyuan Launch Center;Long March 4B;40118;Gaofen 2;Shanghai Academy of Spaceflight Technology (SAST);620;Earth Observation;Government
GEO;China;35796;China Aerospace Science and Technology Corporation;2015-083A;China;NR;4.74e-05;Xichang Satellite Launch Center;Long March 3B;41194;Gaofen 4;China Aerospace Science and Technology Corporation (CASTC);35792;Earth Observation;Government
LEO;China;492;Shanghai Academy of Space Flight Technology;2015-030A;China;NR;0.000583;Taiyuan Launch Center;Long March 4B;40701;Gaofen 8;Shanghai Academy of Spaceflight Technology (SAST);484;Earth Observation;Government
LEO;China;664;Shanghai Academy of Space Flight Technology;2015-047A;China;NR;0.00328;Jiuquan Satellite Launch Center;Long March 2D;40894;Gaofen 9;China Aerospace Science and Technology Corporation (CASTC);618;Earth Observation;Government
GEO;Russia;35790;ISS Reshetnev;2011-048A;Russia;Russia;9.49e-05;Baikonur Cosmodrome;Proton M;37806;Cosmos 2473;Ministry of Defense;35782;Communications;Military
GEO;Russia;35805;ISS Reshetnev;2015-075A;Russia;NR;0.000261;Baikonur Cosmodrome;Proton M;41121;Cosmos 2513;Ministry of Defense;35783;Communications;Military
GEO;Indonesia/Philippines/Thailand;35801;Lockheed Martin Missiles and Space;2000-011A;USA;Indonesia;0.00032;Baikonur Cosmodrome;Proton;26089;Garuda-1;Asia Cellular Satellite;35774;Communications;Commercial
LEO;Denmark;819;GomSpace/University of Aalborg;2013-066Q;Denmark;NR;0.016;Dombarovsky Air Base;Dnepr;39430;GATOSS;GomSpace ApS;593;Technology Development;Commercial
LEO;USA;700;NearSpace Launch/Air Force Research Laboratory;2015-025G;USA;NR;0.0249;Cape Canaveral;Atlas 5;40657;GEARRSAT-2;NearSpace Launch/Air Force Research Laboratory;356;Technology Development;Government
LEO;USA;569;Bigelow Aerospace;2006-029A;USA;USA;0.0034;Dombarovsky Air Base;Dnepr;29252;Genesis-1;Bigelow Aerospace;522;Technology Development;Commercial
LEO;USA;586;Bigelow Aerospace;2007-028A;USA;USA;0.00564;Dombarovsky Air Base;Dnepr;31789;Genesis-2;Bigelow Aerospace;508;Technology Development;Commercial
LEO;Russia;963;ISS Reshetnev;2016-034A;Russia;NR;0.00191;Plesetsk Cosmodrome;Rokot;41579;Cosmos 2517;Ministry of Defense;935;Earth Science;Military
LEO;USA;686;General Dynamics;2008-042A;USA;USA;0.00106;Vandenberg AFB;Delta 2;33331;GeoEye-1;DigitalGlobal Corporation;671;Earth Observation;Commercial/Government
Elliptical;Multinational;191451;NASA/Goddard Space Flight Center;1992-044A;USA;Japan;0.559;Cape Canaveral;Delta 2;22049;Geomagnetic Tail Laboratory (Geotail);Institute of Space and Astronautical Science (ISAS)/NASA/ESA;49551;Space Science;Government
LEO;Canada;512;University of Toronto, Institute for Aerospace Studies/ Space Flight Laboratory;2016-040D;Canada;NR;0.000873;Satish Dhawan;PSLV XL;41602;GHGSat-D;GHGSat, Inc.;500;Earth Science;Commercial
LEO;USA/Japan;704;Japan Aerospace Exploration Agency (JAXA);2012-025A;Japan;Japan;0.000212;Tanegashima Space Center;H-II2;38337;GCOM-1;Japan Aerospace Exploration Agency (JAXA);701;Earth Observation;Government
LEO;USA;1412;Space Systems/Loral;1998-008B;USA;USA;0.000321;Cape Canaveral;Delta 7420;25163;Globalstar FM4;Globalstar;1407;Communications;Commercial
LEO;USA;1415;Space Systems/Loral;1998-023B;USA;USA;0.000128;Cape Canaveral;Delta 7420;25307;Globalstar FM8;Globalstar;1413;Communications;Commercial
LEO;USA;1422;Space Systems/Loral;1999-004A;USA;USA;0.00103;Baikonur Cosmodrome;Soyuz U;25621;Globalstar M023;Globalstar;1406;Communications;Commercial
LEO;USA;1416;Space Systems/Loral;1999-041A;USA;USA;0.000257;Cape Canaveral;Delta 7420;25872;Globalstar M026;Globalstar;1412;Communications;Commercial
LEO;USA;1415;Space Systems/Loral;1999-043B;USA;USA;0.000193;Cape Canaveral;Delta 7420;25884;Globalstar M027;Globalstar;1412;Communications;Commercial
LEO;USA;1414;Space Systems/Loral;1999-041B;USA;USA;6.42e-05;Cape Canaveral;Delta 7420;25873;Globalstar M028;Globalstar;1413;Communications;Commercial
LEO;USA;1413;Space Systems/Loral;1999-062C;USA;USA;0.0341;Baikonur Cosmodrome;Soyuz U;25963;Globalstar M029;Globalstar;900;Communications;Commercial
LEO;USA;1478;Space Systems/Loral;1999-058D;USA;USA;6.37e-05;Baikonur Cosmodrome;Soyuz U;25946;Globalstar M031;Globalstar;1477;Communications;Commercial
LEO;USA;1417;Space Systems/Loral;1999-012D;USA;USA;0.000385;Baikonur Cosmodrome;Soyuz U;25652;Globalstar FM37;Globalstar;1411;Communications;Commercial
LEO;USA;1416;Space Systems/Loral;1999-062A;USA;USA;0.000321;Baikonur Cosmodrome;Soyuz U;25961;Globalstar M039;Globalstar;1411;Communications;Commercial
LEO;USA;1416;Space Systems/Loral;1999-004B;USA;USA;6.42e-05;Baikonur Cosmodrome;Soyuz U;25622;Globalstar M040;Globalstar;1415;Communications;Commercial
LEO;USA;1414;Space Systems/Loral;1999-058C;USA;USA;6.42e-05;Baikonur Cosmodrome;Soyuz U;25945;Globalstar M056;Globalstar;1413;Communications;Commercial
LEO;USA;1415;Space Systems/Loral;1999-058B;USA;USA;0.000128;Baikonur Cosmodrome;Soyuz U;25944;Globalstar M059;Globalstar;1413;Communications;Commercial
LEO;USA;1414;Space Systems/Loral;2000-008A;USA;USA;6.42e-05;Cape Canaveral;Delta 7420;26081;Globalstar M063;Globalstar;1413;Communications;Commercial
LEO;USA;1416;Space Systems/Loral/Alenia Aerospazio;2007-020A;USA/Italy;USA;0.000321;Baikonur Cosmodrome;Soyuz-Fregat;31571;Globalstar M065;Globalstar;1411;Communications;Commercial
LEO;USA;1415;Space Systems/Loral/Alenia Aerospazio;2007-048C;USA/Italy;USA;0.000193;Baikonur Cosmodrome;Soyuz-Fregat;32265;Globalstar M066;Globalstar;1412;Communications;Commercial
LEO;USA;1414;Space Systems/Loral/Alenia Aerospazio;2007-048A;USA/Italy;USA;6.42e-05;Baikonur Cosmodrome;Soyuz-Fregat;32263;Globalstar M067;Globalstar;1413;Communications;Commercial
LEO;USA;1414;Space Systems/Loral/Alenia Aerospazio;2007-048D;USA/Italy;USA;0.000193;Baikonur Cosmodrome;Soyuz-Fregat;32266;Globalstar M068;Globalstar;1411;Communications;Commercial
LEO;USA;1416;Space Systems/Loral/Alenia Aerospazio;2007-020C;USA/Italy;USA;0.000321;Baikonur Cosmodrome;Soyuz-Fregat;31573;Globalstar M069;Globalstar;1411;Communications;Commercial
LEO;USA;1415;Space Systems/Loral/Alenia Aerospazio;2007-048B;USA/Italy;USA;0.000193;Baikonur Cosmodrome;Soyuz-Fregat;32264;Globalstar M070;Globalstar;1412;Communications;Commercial
LEO;USA;1415;Space Systems/Loral/Alenia Aerospazio;2007-020F;USA/Italy;USA;0.000193;Baikonur Cosmodrome;Soyuz-Fregat;31576;Globalstar M071;Globalstar;1412;Communications;Commercial
LEO;USA;1416;Space Systems/Loral/Alenia Aerospazio;2007-020D;USA/Italy;USA;0.000257;Baikonur Cosmodrome;Soyuz-Fregat;31574;Globalstar M072;Globalstar;1412;Communications;Commercial
LEO;USA;1414;Thales Alenia Space;2010-054F;Italy;France;6.42e-05;Baikonur Cosmodrome;Soyuz-Fregat;37193;Globalstar M073;Globalstar;1413;Communications;Commercial
LEO;USA;1415;Thales Alenia Space;2010-054B;Italy;France;0.000128;Baikonur Cosmodrome;Soyuz-Fregat;37189;Globalstar M074;Globalstar;1413;Communications;Commercial
